latitude,longitude,GRIDCODE
27.73687,9.17822,201.0
27.75095,9.15315,201.0
27.76588,9.19138,201.0
27.72489,9.87652,201.0
27.92842,9.10706,201.0
27.92644,9.25018,201.0
28.15439,8.96541,201.0
28.47087,7.5095,201.0
28.19632,9.39691,201.0
28.19961,9.39757,201.0
28.56124,7.4619,200.0
28.56169,7.46042,200.0
28.56089,7.51584,201.0
28.60001,7.26032,201.0
35.8158,-0.27209,190.0
36.1829,3.74749,30.0
36.17755,3.74582,20.0
36.49445,2.46768,134.0
36.13223,1.23998,190.0
36.1289,1.23598,30.0
36.1272,1.24179,190.0
35.81042,-0.23561,210.0
35.81184,-0.24065,210.0
35.81334,-0.26842,190.0
35.8105,-0.25832,190.0
35.8091,-0.25336,190.0
35.80625,-0.24323,190.0
35.81439,-0.26694,190.0
35.81161,-0.25683,190.0
35.81021,-0.25172,190.0
35.82426,-0.32579,190.0
35.76964,-0.26468,190.0
35.56919,-0.93868,14.0
35.31363,-1.34463,150.0
35.30999,-1.34497,150.0
27.76449,9.19487,201.0
27.75019,9.15107,201.0
27.92264,9.25255,201.0
31.0159,8.16398,202.0
31.01252,8.16474,202.0
31.00979,8.17282,201.0
30.66335,8.1032,202.0
30.47275,7.02495,200.0
30.25457,8.08563,202.0
29.69464,6.70707,201.0
28.68498,7.19634,201.0
28.19634,9.39756,201.0
28.60152,7.25788,201.0
26.62008,1.65336,200.0
31.05376,8.03547,202.0
32.88711,3.44971,201.0
31.39425,6.93447,201.0
31.39775,6.93362,202.0
31.40412,5.97788,202.0
31.6618,6.05976,200.0
31.66087,6.05478,200.0
31.66449,6.05388,201.0
31.7881,6.06705,200.0
31.75075,5.22647,201.0
